,recipient,award_type,event_key,year
36746,frc6945,14,2018mrcmp,2018
36747,frc6945,15,2018mrcmp,2018
36748,frc6945,1,2018njbri,2018
36749,frc6945,15,2018njfla,2018
36750,frc6947,10,2018paca,2018
36751,frc6947,22,2019caln,2019
36752,frc6948,16,2019cadm,2019
36753,frc6951,15,2018txho,2018
36754,frc6952,10,2018gush,2018
36755,frc6954,15,2018mike2,2018
36756,frc6954,2,2018miliv,2018
36757,frc6955,15,2018cair,2018
36758,frc6955,2,2018cair,2018
36759,frc6955,4,2018cair,2018
36760,frc6956,15,2018incmp,2018
36761,frc6956,10,2018inmis,2018
36762,frc6956,14,2018inpla,2018
36763,frc6956,15,2018inpla,2018
36764,frc6956,22,2019incmp,2019
36765,frc6956,13,2019inmis,2019
36766,frc6956,17,2019inwla,2019
36767,frc6956,30,2020inblo,2020
36768,frc6956,4,2020incmp,2020
36769,frc6957,10,2018nvlv,2018
36770,frc6957,4,2019caav,2019
36771,frc6957,9,2019nvlv,2019
36772,frc6958,10,2018micen,2018
36773,frc6958,13,2019micen,2019
36774,frc6959,14,2018waahs,2018
36775,frc6960,3,2020cadm,2020
36776,frc6962,14,2018casf,2018
36777,frc6962,30,2019casf,2019
36778,frc6963,1,2019mishe,2019
36779,frc6964,10,2018ohcl,2018
36780,frc6964,9,2019ohcl,2019
36781,frc6965,15,2018mxmo,2018
36782,frc6967,15,2018cave,2018
36783,frc6968,10,2018azfl,2018
36784,frc6970,2,2018shmi,2018
36785,frc6974,15,2018txel,2018
36786,frc6974,16,2019txama,2019
36787,frc6974,11,2019txelp,2019
36788,frc6975,2,2019onnyo,2019
36789,frc6978,13,2018oncmp1,2018
36790,frc6978,14,2018onnob,2018
36791,frc6978,27,2018onto1,2018
36792,frc6978,16,2019onham,2019
36793,frc6978,17,2020onto3,2020
36794,frc6979,3,2018abca,2018
36795,frc6985,14,2018tuis,2018
36796,frc6985,2,2018tuis,2018
36797,frc6985,68,2018tuis,2018
36798,frc6985,71,2019tuis,2019
36799,frc6986,2,2019ausc,2019
36800,frc6986,29,2019ausc,2019
36801,frc6986,68,2019ausc,2019
36802,frc6986,17,2019ausp,2019
36803,frc6986,2,2019cmptx,2019
36804,frc6986,1,2019tur,2019
36805,frc6986,21,2019tur,2019
36806,frc6986,4,2020bexi2,2020
36807,frc6987,2,2018onbar,2018
36808,frc6987,1,2018onnob,2018
36809,frc6987,2,2019onnob,2019
36810,frc6988,10,2018nyny,2018
36811,frc6988,14,2018nyny,2018
36812,frc6988,2,2019tuis,2019
36813,frc6988,68,2019tuis,2019
36814,frc6988,4,2020tuis,2020
36815,frc6989,16,2020tuis2,2020
36816,frc6989,2,2020tuis2,2020
36817,frc6989,68,2020tuis2,2020
36818,frc6992,27,2019onlon,2019
36819,frc6993,13,2018txlu,2018
36820,frc6995,14,2018casd,2018
36821,frc6995,1,2019casd,2019
36822,frc6996,10,2018ausc,2018
36823,frc6996,2,2018ausc,2018
36824,frc6996,4,2018ausc,2018
36825,frc6996,20,2019ausp,2019
36826,frc6997,4,2019ausp,2019
36827,frc6997,4,2020bexi,2020
36828,frc6998,22,2019hiho,2019
36829,frc6999,10,2018iacf,2018
36830,frc7001,15,2018shmi,2018
36831,frc7013,15,2018onnyo,2018
36832,frc7013,14,2018onto1,2018
36833,frc7013,15,2018onto1,2018
36834,frc7013,11,2019onnyo,2019
36835,frc7013,13,2019onto3,2019
36836,frc7018,10,2018mxto,2018
36837,frc7018,14,2018mxto,2018
36838,frc7018,2,2018mxto,2018
36839,frc7018,22,2019mxto,2019
36840,frc7019,15,2018mnmi2,2018
36841,frc7020,15,2018miesc,2018
36842,frc7020,2,2019mikng,2019
36843,frc7021,1,2018mndu2,2018
36844,frc7021,10,2018mndu2,2018
36845,frc7021,14,2018mndu2,2018
36846,frc7021,14,2018wila,2018
36847,frc7021,15,2018wila,2018
36848,frc7021,20,2019iacf,2019
36849,frc7021,17,2020mndu2,2020
36850,frc7021,2,2020mndu2,2020
36851,frc7021,68,2020mndu2,2020
36852,frc7024,15,2018njtab,2018
36853,frc7024,10,2018pawch,2018
36854,frc7026,14,2018alhu,2018
36855,frc7027,10,2018nytr,2018
36856,frc7028,10,2018mndu,2018
36857,frc7028,14,2018mndu,2018
36858,frc7028,20,2019mnmi,2019
36859,frc7029,15,2018ncpem,2018
36860,frc7030,14,2018nytr,2018
36861,frc7030,2,2019nytr,2019
36862,frc7031,15,2018nytr,2018
36863,frc7033,22,2019tuis,2019
36864,frc7033,4,2019tuis,2019
36865,frc7034,15,2018hop,2018
36866,frc7034,10,2018orlak,2018
36867,frc7034,14,2018orlak,2018
36868,frc7034,14,2018orwil,2018
36869,frc7034,10,2018pncmp,2018
36870,frc7034,13,2019orwil,2019
36871,frc7034,18,2019orwil,2019
36872,frc7035,2,2018tuis,2018
36873,frc7035,2,2019tuis,2019
36874,frc7037,30,2018mxto,2018
36875,frc7037,4,2020mxto,2020
36876,frc7038,14,2018mnmi,2018
36877,frc7038,15,2018mnmi,2018
36878,frc7039,14,2018hop,2018
36879,frc7039,14,2018iscmp,2018
36880,frc7039,15,2018iscmp,2018
36881,frc7039,5,2018iscmp,2018
36882,frc7039,10,2018isde2,2018
36883,frc7039,2,2018isde2,2018
36884,frc7039,14,2018isde4,2018
36885,frc7039,15,2018isde4,2018
36886,frc7039,16,2019isde1,2019
36887,frc7039,18,2019isde4,2019
36888,frc7039,2,2019isde4,2019
36889,frc7039,11,2020isde2,2020
36890,frc7041,15,2018mndu,2018
36891,frc7042,15,2018capo,2018
36892,frc7042,2,2019caln,2019
36893,frc7042,13,2020cadm,2020
36894,frc7043,14,2018ohcl,2018
36895,frc7045,14,2018njfla,2018
36896,frc7046,15,2018mxto,2018
36897,frc7047,16,2018shmi,2018
